Episode 307: 1000 time steps, total rewards -97.00
Episode 308: 1000 time steps, total rewards -104.00
Episode 309: 1000 time steps, total rewards -100.00
Episode 310: 1000 time steps, total rewards -94.00
Episode 311: 1000 time steps, total rewards -100.00
Episode 312: 1000 time steps, total rewards -100.00
Episode 313: 1000 time steps, total rewards -100.00
Episode 314: 1000 time steps, total rewards -102.00
Episode 315: 1000 time steps, total rewards -100.00
Episode 316: 1000 time steps, total rewards -97.00
Episode 317: 1000 time steps, total rewards -99.00
Episode 318: 1000 time steps, total rewards -97.00
Episode 319: 1000 time steps, total rewards -97.00
Episode 320: 1000 time steps, total rewards -102.00
Episode 321: 1000 time steps, total rewards -102.00
Episode 322: 1000 time steps, total rewards -99.00
Episode 323: 1000 time steps, total rewards -100.00
Episode 324: 1000 time steps, total rewards -94.00
Episode 325: 1000 time steps, total rewards -96.00
Episode 326: 1000 time steps, total rewards -104.00
Episode 327: 1000 time steps, total rewards -102.00
Episode 328: 1000 time steps, total rewards -97.00
Episode 329: 1000 time steps, total rewards -100.00
Episode 330: 1000 time steps, total rewards -100.00
Episode 331: 1000 time steps, total rewards -100.00
Episode 332: 1000 time steps, total rewards -100.00
Episode 333: 1000 time steps, total rewards -102.00
Episode 334: 1000 time steps, total rewards -100.00
Episode 335: 1000 time steps, total rewards -100.00
Episode 336: 1000 time steps, total rewards -100.00
Episode 337: 1000 time steps, total rewards -102.00
Episode 338: 1000 time steps, total rewards -94.00
Episode 339: 1000 time steps, total rewards -100.00
Episode 340: 1000 time steps, total rewards -100.00
Episode 341: 1000 time steps, total rewards -94.00
Episode 342: 1000 time steps, total rewards -94.00
Episode 343: 1000 time steps, total rewards -100.00
Episode 344: 1000 time steps, total rewards -94.00
Episode 345: 1000 time steps, total rewards -100.00
Episode 346: 1000 time steps, total rewards -100.00
Episode 347: 1000 time steps, total rewards -100.00
Episode 348: 1000 time steps, total rewards -100.00
Episode 349: 1000 time steps, total rewards -102.00
Episode 350: 1000 time steps, total rewards -97.00
Episode 351: 1000 time steps, total rewards -101.00
Episode 352: 1000 time steps, total rewards -99.00
Episode 353: 1000 time steps, total rewards -100.00
Episode 354: 1000 time steps, total rewards -100.00
Episode 355: 1000 time steps, total rewards -100.00
Episode 356: 1000 time steps, total rewards -100.00
Episode 357: 1000 time steps, total rewards -100.00
Episode 358: 1000 time steps, total rewards -102.00
Episode 359: 1000 time steps, total rewards -97.00
Episode 360: 1000 time steps, total rewards -97.00
Episode 361: 1000 time steps, total rewards -97.00
Episode 362: 1000 time steps, total rewards -97.00
Episode 363: 1000 time steps, total rewards -94.00
Episode 364: 1000 time steps, total rewards -100.00
